Gun Shop Name,Type,Town,County,Phone Number
Wal-Mart #1932,Dealer,Ellsworth,Hancock,(207) 667-6780
Bobbie Ray Richardson,Dealer,Lamoine,Hancock,(207) 667-8725
Andrew Keblinsky,Dealer,Bar Harbor,Hancock,(207) 288-2216
Northern Sights,Dealer,Hancock,Hancock,(207) 664-3728
Cool Hand Luke Firearms,Dealer,Bucksport,Hancock,(207) 735-6427
Nicholas Steven Lombari,Dealer,Bucksport,Hancock,(603) 867-9259
Pine River Outfitters,Dealer,Surry,Hancock,(207) 812-5640
Bradford Scott Macdonald,Dealer,Amherst,Hancock,(207) 735-4543
Sean Dow & Peter,Dealer,Surry,Hancock,(207) 460-8791
Kenneth M Saunders,Dealer,Orland,Hancock,(207) 469-3378
Willeys Sport Shop Inc,Dealer,Ellsworth,Hancock,(207) 667-2511
Cory S Robertson,Dealer,Blue Hill,Hancock,(207) 479-6463
North Belgrade Gun Shop,Dealer,Belgrade,Kennebec,(207) 465-2276
Ron\s Machine Shop,Dealer,Augusta,Kennebec,(207) 622-7989
Hamiltons Gun Shop,Dealer,Farmingdale,Kennebec,(207) 629-9163
Halmar Enterprises,Dealer,Pittston,Kennebec,(207) 582-0917
My Guns LLC,Dealer,Sidney,Kennebec,(207) 557-2988
Audettes Inc,Dealer,Winthrop,Kennebec,(207) 377-2711
Antique Clock Shop Inc,Dealer,Litchfield,Kennebec,(352) 422-3461
Ararat Trading Company,Dealer,Winslow,Kennebec,(207) 756-4352
Seth Ryan Ames,Dealer,Clinton,Kennebec,(207) 649-3420
Honorable Firearms,Dealer,Oakland,Kennebec,(207) 692-6975
1st Choice Firearms,Dealer,Benton,Kennebec,(207) 877-5080
Husseys General Store,Dealer,Windsor,Kennebec,(207) 445-2511
Paradis Outfitters LLC,Dealer,Sidney,Kennebec,(207) 547-4867
Iulian Petre,Dealer,Winslow,Kennebec,(207) 873-4997
Yeatons Service And Supply LLC,Dealer,Albion,Kennebec,(207) 314-1497
Harvey Anthony,Dealer,Benton,Kennebec,(207) 238-9500
Johns Gunshop,Dealer,Sidney,Kennebec,(207) 521-4218
Spare Time Guns And Ammo LLC,Dealer,Oakland,Kennebec,(207) 465-3439
Thaddeus Glen Clark,Dealer,Belgrade,Kennebec,(207) 441-7853
Empty Brass Arms,Dealer,Benton,Kennebec,(207) 248-7079
Ricochet Reds Gun Shed,Dealer,Belgrade,Kennebec,(207) 495-3989
Csw Militaria,Dealer,Winslow,Kennebec,(207) 872-9000
D & L Country Store,Dealer,Oakland,Kennebec,(207) 465-3439
Fox Firearms Sales & Training Services,Dealer,Vassalboro,Kennebec,(207) 622-3686
SAM,Dealer,Augusta,Kennebec,(207) 623-4589
Upperhand Gun Werks,Dealer,Clinton,Kennebec,(719) 641-0510
Clinton Hydrographics,Dealer,Clinton,Kennebec,(207) 453-9733
Farrin\s Country Auctions Inc,Dealer,Randolph,Kennebec,(207) 582-1455
Bob\s Guns,Dealer,Sidney,Kennebec,(207) 547-3897
Steel Dog Welding + Fabrication,Dealer,West Gardiner,Kennebec,(207) 708-0405
Michael Adams,Dealer,Winthrop,Kennebec,(207) 931-6600
David Lee Fleury,Dealer,Sidney,Kennebec,(207) 446-5413
Dragonz Den Armory,Dealer,Benton,Kennebec,(207) 943-3619
Ma & Pas General Store,Dealer,Readfield,Kennebec,(207) 585-2215
Scottish Irish Crafts Ltd,Dealer,Appleton,Knox,(207) 785-5362
Scott Alan Peabody,Dealer,Washington,Knox,(207) 845-2970
Torpacka\s Gun Shop,Dealer,Rockland,Knox,(207) 273-3529
Johnson\s Sporting Goods Inc,Dealer,Rockland,Knox,(207) 594-2916
Mid Coast Shooters,Dealer,Hope,Knox,(207) 763-4466
Wal-Mart #1797,Dealer,Rockland,Knox,(207) 596-0885
Reds Guns,Dealer,Warren,Knox,(207) 380-4589
Simmons Firearms LLC,Dealer,Union,Knox,(207) 975-5555
As Is Sales & Rental,Dealer,Washington,Knox,(207) 691-7524
Medomak River Trading Post,Dealer,Washington,Knox,(207) 845-2520
Michael Theron And Melissa Ann Mank,Dealer,Hope,Knox,(207) 763-3745
Benjamin C Perry,Dealer,Thomaston,Knox,(207) 354-0582
Thomaston Place Auction Galleries Inc,Dealer,Thomaston,Knox,(207) 354-8141
Mid-Maine Firearms,Dealer,Waldoboro,Lincoln,(207) 975-1800
Progun,Dealer,Boothbay,Lincoln,(207) 380-4342
Jw Firearms,Dealer,Edgecomb,Lincoln,(207) 380-4965
Zirt,Dealer,Boothbay Harbor,Lincoln,(207) 350-8617
Bear Hill True Value Hardware,Dealer,Waldoboro,Lincoln,(207) 832-6066
Dubord Take Out,Dealer,Dresden,Lincoln,(207) 656-3076
Usa Personal Protection,Dealer,Edgecomb,Lincoln,(910) 305-6769
Charles A Pernice,Dealer,Newcastle,Lincoln,(207) 242-2587
Brian J Long,Dealer,Alna,Lincoln,(207) 882-4286
Bird Dog Gunsmithing,Dealer,Oxford,Oxford,(207) 890-6292
Roderick R Rovzar,Dealer,Stoneham,Oxford,(207) 928-1025
Veno Associates,Dealer,Fryeburg,Oxford,(603) 986-9516
Ward Gun Works,Dealer,Norway,Oxford,(207) 743-5270
Mdw Guns,Dealer,Waterford,Oxford,(603) 491-1469
Painebrook Firearms,Dealer,Brownfield,Oxford,(603) 662-3969
Wentworths Guns & Ammo,Dealer,Brownfield,Oxford,(207) 935-2327
Lake Region Awards,Dealer,Norway,Oxford,(207) 743-7799
Registered Maine Guide,Dealer,Fryeburg,Oxford,(207) 935-6000
Wal-Mart #2183,Dealer,Oxford,Oxford,(207) 743-0882
J & K Sporting Goods,Dealer,West Paris,Oxford,(207) 674-3188
Wal-Mart #3269,Dealer,Mexico,Oxford,(207) 364-2557
Caribou Sporting Goods,Dealer,Bethel,Oxford,(207) 836-3113
L L Cote,Dealer,Upton,Oxford,(603) 482-7777
Vincent A Pestilli & Assoc Inc,Dealer,Brownfield,Oxford,(207) 935-3603
Todd Macfarland Murphy,Dealer,Denmark,Oxford,(207) 935-2055
Lovell Bait & Tackle,Dealer,Lovell,Oxford,(207) 925-3001
Foothills Firearms Safety,Dealer,Sumner,Oxford,(207) 357-2841
One Eyed Jak\s LLC,Dealer,West Paris,Oxford,(207) 890-3078
South Arm Select,Dealer,Andover,Oxford,(207) 392-1051
Witas Gun Shop,Dealer,Rumford,Oxford,(207) 364-8662
Arms Den,Dealer,Lovell,Oxford,(207) 289-9733
John Sonnenfeld,Dealer,Norway,Oxford,(207) 743-2396
White Mountains Firearms,Dealer,Fryeburg,Oxford,(603) 986-2899
Jeffrey David Cayer,Dealer,Oxford,Oxford,(207) 754-0977
The Shooters Edge,Dealer,Dixfield,Oxford,(207) 357-4974
Mainely Antinque Auctions,Dealer,Bangor,Penobscot,(207) 341-0192
Old Goat Gunsmithing & Training,Dealer,Hampden,Penobscot,(207) 862-2153
Allsport Performance Inc,Dealer,Hermon,Penobscot,(207) 848-4995
Old Town Trading Post,Dealer,Old Town,Penobscot,(207) 827-7032
Mardens Inc,Dealer,Brewer,Penobscot,(207) 989-1750
Jrs Enterprises,Dealer,Hermon,Penobscot,(207) 478-0951
Wal-Mart Supercenter #5076,Dealer,Brewer,Penobscot,(207) 989-5068
Pine Outfitters & Police Supply,Dealer,Bradley,Penobscot,(207) 827-3718
Penobscot Gun Trader,Dealer,Hermon,Penobscot,(207) 299-5781
Merrll\s Gun Shop,Dealer,Etna,Penobscot,(207) 269-4570
Bangor Auction Co,Dealer,Alton,Penobscot,(207) 949-0381
Bangor Branch Store,Dealer,Bangor,Penobscot,(207) 942-1809
Murray\s Firearm Repair,Dealer,Charleston,Penobscot,(207) 949-6112
Penobscot Guns & Ammo LLC,Dealer,Millinocket,Penobscot,(207) 907-0795
Plymouth Village Store,Dealer,Plymouth,Penobscot,(207) 257-2134
Buyers,Dealer,Holden,Penobscot,(207) 843-6205
Phil Latacz Firearms,Dealer,Glenburn,Penobscot,(207) 570-0571
Bill\s Gun Shop,Dealer,Orrington,Penobscot,(207) 825-4448
Whitney\s Outfitters,Dealer,Lincoln,Penobscot,(207) 403-8000
Maynard Ross & Tonya Ross,Dealer,Corinna,Penobscot,(207) 278-3400
Rams Gun Repair & Sales,Dealer,Medway,Penobscot,(207) 746-5098
Creative Coatings,Dealer,Levant,Penobscot,(207) 299-7018
Pond View Sports,Dealer,Dexter,Penobscot,(207) 924-3401
Jon\s Gun Shop,Dealer,Lincoln,Penobscot,(207) 794-8821
Tiltons Auction,Dealer,Corinth,Penobscot,(207) 285-3467
Tlc Gunsmithing And Armory,Dealer,Hampden,Penobscot,(207) 862-2094
Gray Acres Farming,Dealer,Hudson,Penobscot,(207) 951-3174
Two Rivers Canoe And Tackle,Dealer,Medway,Penobscot,(207) 746-5066
Tytron,Dealer,Patten,Penobscot,(207) 461-2206
Gun Barn,Dealer,Dexter,Penobscot,(207) 924-7458
Knife Edge Trading Post / Bragdon Energy,Dealer,Millinocket,Penobscot,(207) 723-6800
The Hunting Lodge,Dealer,Holden,Penobscot,(207) 907-9600
Gbne / Gunbusters South East,Dealer,Hermon,Penobscot,(844) 486-2878
County Road Arms,Dealer,Milford,Penobscot,(207) 951-0096
Reloading Center,Dealer,Brewer,Penobscot,(207) 478-1010
Slipper Ridge Trading Company,Dealer,LEE,Penobscot,(207) 794-5707
Levasseur Hdwe & Buildingsupply,Dealer,Millinocket,Penobscot,(207) 723-8600
Liberty Tree Collectors,Dealer,Corinth,Penobscot,(207) 285-3111
Central Maine Auto Auction,Dealer,Hermon,Penobscot,(207) 848-7027
Hpl Trading Co,Dealer,Garland,Penobscot,(207) 215-1435
H F Firearms,Dealer,Levant,Penobscot,(207) 478-7642
Pauls Guns,Dealer,Beaver Cove,Piscataquis,(207) 279-6212
Dave Hansen Firearm Services,Dealer,Greenville,Piscataquis,(207) 279-0993
C & J Variety,Dealer,Milo,Piscataquis,(207) 943-3165
Eagle Rock Farms LLC,Dealer,Greenville,Piscataquis,(207) 284-1122
Indian Hill Trading Post,Dealer,Greenville,Piscataquis,(207) 695-2104
C.r. Guns,Dealer,Milo,Piscataquis,(207) 965-5420
Maine Tackle Co,Dealer,Milo,Piscataquis,(207) 943-2586
Richard Lewis Packard,Dealer,Willimantic,Piscataquis,(207) 997-9621
Hollenbeck Enterprises,Dealer,Bath,Sagadahoc,(207) 319-5216
Bruce Kenneth Mcgowen,Dealer,Topsham,Sagadahoc,(207) 721-6783
Perry\s Gunsmithing,Dealer,Bath,Sagadahoc,(207) 837-4040
Frederick George Norton,Dealer,Bowdoin,Sagadahoc,(207) 666-3023
Muddy River Hunting Supplies,Dealer,Topsham,Sagadahoc,(207) 695-2544
Black Ghost Outfitters,Dealer,West Bath,Sagadahoc,(207) 837-7847
Jim\s Guns,Dealer,Topsham,Sagadahoc,(207) 729-4259
Saras Taxidermy,Dealer,Jackman,Somerset,(207) 349-0977
Somerset Auction Co,Dealer,Fairfield,Somerset,(207) 649-0347
Wal-Mart #2143,Dealer,Skowhegan,Somerset,(207) 474-2126
We The People Firearms LLC,Dealer,Pittsfield,Somerset,(207) 399-3521
Rps Tactical LLC,Dealer,Fairfield,Somerset,(207) 416-3880
Staples Hardware & Building Supply,Dealer,Bingham,Somerset,(207) 672-4455
Ketchums Sporting Goods,Dealer,Skowhegan,Somerset,(207) 474-0703
Michaud Munitions,Dealer,Fairfield,Somerset,(207) 314-2256
Bingham Motor Inn & Sports Complex Inc,Dealer,Bingham,Somerset,(207) 592-4879
Atlantic Flyway Outfitters,Dealer,Cornville,Somerset,(207) 712-9074
James Donald Julia Inc,Dealer,Fairfield,Somerset,(207) 453-7125
Freedom Target Systems,Dealer,Fairfield,Somerset,(207) 649-9128
Mountain Arms,Dealer,Skowhegan,Somerset,(207) 858-0010
Jackman Hardware,Dealer,Jackman,Somerset,(207) 668-5151
Freedom Firearms,Dealer,Moscow,Somerset,(207) 423-5797
Kennebec Arms,Dealer,Caratunk,Somerset,(207) 672-4449
David Vining,Dealer,Skowhegan,Somerset,(207) 474-0637
Central Maine Firearms,Dealer,Norridgewock,Somerset,(207) 634-3517
Economy Guns,Dealer,Madison,Somerset,(207) 696-5548
The Powder Keg,Dealer,Mt Vernon,Unknown,(207) 215-4440
Joe\s Guns And Ammo,Dealer,East Andover,Unknown,(207) 418-2183
Classic Restorations,Dealer,Brookton,Unknown,(207) 746-8008
Dwight Gunshop,Dealer,West Enfield,Unknown,(207) 794-4434
J & J Gun Sales,Dealer,S Berwick,Unknown,(207) 468-5113
Sebec Marine & Sports,Dealer,Dover Foxcroft,Unknown,(207) 564-8223
Daniel Buck Auctions Inc,Dealer,Lisbon Falls,Unknown,(207) 407-1444
Sheepscott Valley Gun Shop,Dealer,New Castle,Unknown,(207) 586-6064
Highland Collectors,Dealer,Orneville Twp,Unknown,(207) 943-2690
Harvey\s Firearms.,Dealer,South China,Unknown,(207) 445-4239
Hansen\s Outpost,Dealer,Bass Harbor,Unknown,(207) 244-9750
Hannas Garage & Hardware,Dealer,New Harbor,Unknown,(207) 677-2351
Wayne R Dalpe,Dealer,North Waterboro,Unknown,(207) 806-9051
Bear Arms Sporting Goods,Dealer,North Bridgton,Unknown,(207) 595-8741
Brad\S,Dealer,West Buxton,Unknown,(207) 807-1343
Buckinghams Firearms Safety,Dealer,Garfield Plt,Unknown,(207) 554-0098
Britannia Sporting Arms,Dealer,Cape Neddick,Unknown,(603) 303-0699
Ontarget Gunsmithing,Dealer,Springvale,Unknown,(207) 850-1050
Hillside Hydrographics LLC,Dealer,Saint Agatha,Unknown,(207) 316-6569
Keyes Trading Post,Dealer,Smyrna Mills,Unknown,(207) 757-7129
Lone Pine Home And Sport,Dealer,North Waterboro,Unknown,(207) 408-4166
Arthur Kyricos,Dealer,York Harbor,Unknown,(207) 363-4988
O And B Firearms,Dealer,Lisbon Falls,Unknown,(207) 333-0066
Patch Custom Firearms,Dealer,Hollis Center,Unknown,(207) 929-8181
Wildwood Inc,Dealer,South China,Unknown,(207) 968-2138
Rivers Edge Sports Inc,Dealer,Oquossoc,Unknown,(207) 864-5582
Old Colony Manufactory,Dealer,East Boothbay,Unknown,(207) 633-3210
Barr Bros Tactical,Dealer,Lisbon Falls,Unknown,(207) 576-1282
Mountains Market Inc,Dealer,Dover Foxcroft,Unknown,(207) 564-2814
Mountain Antiques,Dealer,Oquossoc,Unknown,(207) 864-2907
B & B Gun Shop,Dealer,Sherman Mills,Unknown,(207) 365-7134
Outdoor Sportsman,Dealer,Northport,Waldo,(207) 338-4141
Kenneth Clifton Louder,Dealer,Lincolnville,Waldo,(207) 390-1180
Mt Valley Sports,Dealer,Montville,Waldo,(207) 322-5661
Ss Firearms,Dealer,Palermo,Waldo,(207) 838-1666
Parsons Small Engine,Dealer,Unity,Waldo,(207) 948-2377
Hayes Custom Weaponry & Supply,Dealer,Unity,Waldo,(207) 416-3421
Garo H Armen,Dealer,Lincolnville,Waldo,(207) 763-4844
Andrews & Andrews Auctions,Dealer,Northport,Waldo,(207) 338-1386
Kyle David Tripp,Dealer,Monroe,Waldo,(207) 322-8889
Houston Brooks Auctioneers,Dealer,Burnham,Waldo,(207) 948-2214
Kurt Duane Southworth,Dealer,Liberty,Waldo,(207) 589-4721
Duck Trap Woodworking,Dealer,Lincolnville,Waldo,(207) 975-9052
Swan Lake Outfitters LLC,Dealer,Swanville,Waldo,(207) 338-3006
Partridge Meadow Firearms LLC,Dealer,Waite,Washington,(207) 796-2777
Three Rivers Gun Shop,Dealer,Northfield,Washington,(207) 259-2083
Charles Walter Leppin,Dealer,Eastport,Washington,(207) 853-2353
Noel Firearms,Dealer,Milbridge,Washington,(207) 546-4400
Down East Firearms,Dealer,Cutler,Washington,(207) 538-6321
Coffins True Value Hardware,Dealer,Machias,Washington,(207) 255-8387
David Feiner,Dealer,Calais,Washington,(207) 454-9996
Wal-Mart #2178,Dealer,Calais,Washington,(207) 454-8178
Ye Olde Gunshop,Dealer,Calais,Washington,(207) 214-4799
Surfside Auction,Dealer,Machiasport,Washington,(207) 255-3637
S&s Firearms,Dealer,East Machias,Washington,(207) 263-8949
Kinsman Arms,Dealer,Pembroke,Washington,(603) 219-9726
Johnson Company Inc,Dealer,Calais,Washington,(207) 454-2551
Ironhorse Hunting Supply,Dealer,Wesley,Washington,(207) 214-9956
Taylor Hill Firearms,Dealer,Alexander,Washington,(207) 427-3988
Smitty\s Trading Post,Dealer,Machias,Washington,(207) 255-8427
Harry Robert Doughty,Dealer,Machiasport,Washington,(207) 726-8086
LOU\S,Dealer,Calais,Washington,(781) 254-4094
Guagus Enterprises,Dealer,Milbridge,Washington,(207) 598-6862
Black Jack Firearms,Dealer,Eastport,Washington,(207) 853-2397
Dales Gun Shop,Dealer,East Machias,Washington,(207) 259-7798
Birchwood Manor Ordnance,Dealer,Biddeford,York,(914) 420-5102
Buckhorn Rod & Gun Shop,Dealer,Limerick,York,(207) 793-4498
Aggressor Firearms,Dealer,Waterboro,York,(207) 604-4561
Weapons Xchange,Dealer,Sanford,York,(207) 651-5635
Walmart #1954,Dealer,Sanford,York,(479) 258-2243
Classic Smokepoles LLC,Dealer,Lyman,York,(207) 450-0083
Walmart #2153,Dealer,Biddeford,York,(207) 286-9551
Cider Hill Associates,Dealer,York,York,(207) 363-5403
Bars Open Farm Gunworks,Dealer,Lyman,York,(207) 229-9898
Agamenticus Arms,Dealer,South Berwick,York,(207) 384-2355
Stephen M Dalzell,Dealer,Arundel,York,(207) 569-0017
Delwyn L Door,Dealer,Sanford,York,(207) 850-4700
Palmer Eddy Historical Firearms,Dealer,Kennebunkport,York,(207) 512-5964
Peter Michael Garthwaite,Dealer,Wells,York,(207) 251-3427
Minerva Gunsmithing LLC,Dealer,Kennebunk,York,(207) 216-2111
Lls Firearms,Dealer,Cornish,York,(207) 632-2629
Larrys Gun And Taxidermy LLC,Dealer,Buxton,York,(207) 939-4971
Larry Tracy Jr Communications,Dealer,Kennebunk,York,(207) 985-3392
Lakeside Sport And Marine,Dealer,Shapleigh,York,(207) 636-1325
Klein Arms,Dealer,Waterboro,York,(207) 608-0792
Kittery Trading Post-Shawmut Dist,Dealer,Kittery,York,(207) 439-2700
Rocky Hill Firearms,Dealer,South Berwick,York,(207) 252-0773
Kezar Falls Hardware,Dealer,Parsonsfield,York,(207) 625-4579
S R Sales,Dealer,Kennebunkport,York,(860) 205-5183
K M W Gunsmithing,Dealer,Parsonsfield,York,(207) 625-7496
Just Signs,Dealer,Parsonsfield,York,(207) 423-3800
Silencer Central,Dealer,York,York,(605) 610-8898
Smoking Gun,Dealer,Kennebunk,York,(207) 229-8512
Southern  Maine Guns LLC,Dealer,Buxton,York,(207) 749-5180
Gordon Arthur Murphy,Dealer,Old Orchard Beach,York,(207) 934-4277
George H Chase,Dealer,Saco,York,(207) 282-5083
Streetsweeper Tactical,Dealer,Cornish,York,(401) 225-1066
Fouled Anchor Arms LLC,Dealer,York,York,(207) 332-0471
Fort Ridge Trading Post,Dealer,Shapleigh,York,(207) 324-4821
Fort Laramee (gunsmithing),Dealer,York,York,(207) 787-7140
First Freedom,Dealer,Lebanon,York,(207) 651-8930
Eldredge Lumber & Hdwe Inc,Dealer,York,York,(207) 363-2004
Dutch Harbor Outfitters,Dealer,Kennebunk,York,(207) 391-2029
Durkee Enterprises,Dealer,Limington,York,(207) 637-3755
Dpw Realty LLC,Dealer,York,York,(207) 451-8081
Turbats Creek Arms,Dealer,Kennebunkport,York,(207) 205-6552
D&g Archery Pro Shop,Dealer,Wells,York,(207) 676-9954
Barley Road Gun Shop,Dealer,Lebanon,York,(207) 339-3178
